,HDD,Description,Chip Speeds,Chip Brands,Prices (Rupee),Card Models,Ram Speed,Card Brands,Ram,Prices (VND),SSD,Ram Type,Chip Type
41,,"APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A  (13.3 inch, Space Grey, 1.29 kg)",,,"₹92,900",,,,,29.145.517,,,
42,,"APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGN73HN/A  (13.3 inch, Space Grey, 1.29 kg)",,,"₹114,990",,,,,36.075.813,,,
43,,"acer Aspire 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) A315-56 Laptop  (15.6 inch, Black, 1.9 kg)",,,"₹42,999",,,,,13.490.076,,,
44,,"ASUS VivoBook S S13 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) S333EA-EG501TS Thin and Light Laptop  (13.3 inch, Grey, 1.20 kg, With MS Office)",,,"₹54,990",,,,,17.252.013,,,
45,,"Lenovo Ideapad 5 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 Thin and Light Laptop  (14 inch, Graphite Grey, 1.39 kg, With MS Office)",,,"₹59,990",,,,,18.820.663,,,
46,,"MSI Modern 14 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-424IN Laptop  (14 inch, Carbon Grey, 1.3 kg)",,,"₹39,990",,,,,12.546.063,,,
47,,"ASUS ROG Strix G15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) G512LI-HN094T Gaming Laptop  (15.6 inch, Black Plastic, 2.3 kg)",,,"₹69,990",,,,,21.957.963,,,
48,,"HP Pavilion x360 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1180TU 2 in 1 Laptop  (14 inch, Mineral Silver, 1.58 kg, With MS Office)",,,"₹69,990",,,,,21.957.963,,,
49,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
50,,"Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4243IN Thin and Light Laptop  (14 inch, Silver, 1.5 kg)",,,"₹44,999",,,,,14.117.536,,,
51,,"HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-dy2500TU Thin and Light Laptop  (14 inch, Jet Black, 1.46 kg, With MS Office)",,,"₹37,990",,,,,11.918.603,,,
52,,"Lenovo Ideapad Flex 5 Ryzen 5 Hexa Core 4500U 4th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 2 in 1 Laptop  (14 inch, Graphite Grey, 1.5 kg, With MS Office)",,,"₹57,990",,,,,18.193.203,,,
53,,"Lenovo ThinkPad E15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop  (15.6 inches, Black, 1.7 kg, With MS Office)",,,"₹64,990",,,,,20.389.313,,,
54,,"Lenovo Ideapad S145 APU Dual Core A6 A6-9225 - (4 GB/1 TB HDD/Windows 10 Home) S145-15AST Thin and Light Laptop  (15.6 inch, Grey, 1.85 kg)",,,"₹25,990",,,,,8.153.843,,,
55,,"ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home) X413JA-EK277TS Thin and Light Laptop  (14 inch, Cobalt Blue, 1.40 kg, With MS Office)",,,"₹58,990",,,,,18.506.933,,,
56,,"ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ591T Laptop  (15.6 inch, Transparent Silver, 1.9 kg)",,,"₹53,990",,,,,16.938.283,,,
57,,"Lenovo Ideapad 3 Athlon Dual Core 3050U - (4 GB/1 TB HDD/Windows 10 Home) 15ADA05 Laptop  (15.6 inch, Platinum Grey, 1.85 kg, With MS Office)",,,"₹25,990",,,,,8.153.843,,,
58,,"ASUS VivoBook 14 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK587T Thin and Light Laptop  (14 inch, Dreamy White, 1.4 kg)",,,"₹55,591",,,,,17.440.564,,,
59,,"Lenovo Ideapad Flex 5 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14IIL05 2 in 1 Laptop  (14 inch, Graphite Grey, 1.5 kg, With MS Office)",,,"₹43,990",,,,,13.800.983,,,
60,,"Lenovo IdeaPad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05 Thin and Light Laptop  (14 inch, Graphite Grey, 1.5 kg, With MS Office)",,,"₹51,756",,,,,16.237.410,,,
61,,"APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A  (13.3 inch, Silver, 1.29 kg)",,,"₹92,900",,,,,29.145.517,,,
62,,"ASUS VivoBook 15 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ501T Thin and Light Laptop  (15.6 inch, Slate Grey, 1.80 kg)",,,"₹45,990",,,,,14.428.443,,,
63,,"MSI Modern 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B4MW-410IN Notebook  (14 Inches, Carbon Grey, 1.3 KG)",,,"₹47,990",,,,,15.055.903,,,
64,,"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) INS 5409 Thin and Light Laptop  (14 inch, Pebble, 1.4 kg, With MS Office)",,,"₹62,990",,,,,19.761.853,,,
65,,"HP 14s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14s-CR2000TU Thin and Light Laptop  (14 inch, Natural Silver, 1.43 kg, With MS Office)",,,"₹57,990",,,,,18.193.203,,,
66,,"acer One 14 Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop  (14 inch, Silver, 1.8 kg)",,,"₹22,990",,,,,7.212.653,,,
67,,"APPLE MacBook Air Core i5 10th Gen - (8 GB/256 GB SSD/Mac OS Catalina) Z0YJ001KD  (13.3 inch, Space Grey, 1.29 kg)",,,"₹92,990",,,,,29.173.753,,,
68,,"Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S340 Laptop  (14 inch, Platinum Grey, 1.6 kg, With MS Office)",,,"₹60,990",,,,,19.134.393,,,
69,,"Lenovo Thinkpad E14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) E14 Thin and Light Laptop  (14 inch, Silver, 1.69 kg, With MS Office)",,,"₹58,990",,,,,18.506.933,,,
70,,"HP Pavilion x360 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dw1038TU 2 in 1 Laptop  (14 inch, Natural Silver, 1.61 kg, With MS Office)",,,"₹64,990",,,,,20.389.313,,,
71,,"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) �INSP 5406 2 in 1 2 in 1 Laptop  (14 inch, Titan Grey, 1.72 kg, With MS Office)",,,"₹68,240",,,,,21.408.935,,,
72,,"MSI GF63 Thin Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 9SCXR-417IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)",,,"₹66,990",,,,,21.016.773,,,
73,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
74,,"HP 15s Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15s-du1052TU Thin and Light Laptop  (15.6 inch, Jet Black, 1.76 kg)",,,"₹25,990",,,,,8.153.843,,,
75,,"ASUS ROG Strix G15 Ryzen 9 Octa Core - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) G513QM-HF318TS Gaming Laptop  (15.6 inch, Eclipse Gray, 2.30 Kg, With MS Office)",,,"₹144,990",,,,,45.487.713,,,
76,,"Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop  (15.6 inch, Platinum Grey, 1.85 kg)",,,"₹40,990",,,,,12.859.793,,,
77,,"ASUS ROG Strix G17 Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/300 Hz) G713QM-HG074TS Gaming Laptop  (17.3 inch, Eclipse Grey, 2.70 kg, With MS Office)",,,"₹150,990",,,,,47.370.093,,,
78,,"ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB512TS Thin and Light Laptop  (14 inch, Bespoke Black, 1.40 kg, With MS Office)",,,"₹54,990",,,,,17.252.013,,,
79,,"APPLE MacBook Pro M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MYD82HN/A  (13.3 inch, Space Grey, 1.4 kg)",,,"₹118,990",,,,,37.330.733,,,
80,,"ASUS VivoBook 15 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X515JA-EJ512TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",,,"₹52,990",,,,,16.624.553,,,
81,,"ASUS VivoBook Flip 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) TP470EA-EC029TS 2 in 1 Laptop  (14 inch, Transparent Silver, 1.50 kg, With MS Office)",,,"₹63,990",,,,,20.075.583,,,
82,,"HP 14s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 14s-er0004TU Thin and Light Laptop  (14 inch, Natural Silver, 1.53 kg, With MS Office)",,,"₹45,400",,,,,14.243.342,,,
83,,"Lenovo Thinkpad E14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) E14 Thin and Light Laptop  (14 inch, Black, 1.69 kg, With MS Office)",,,"₹40,990",,,,,12.859.793,,,
84,,"ASUS ROG Strix G15 (2020) Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) G512LI-HN086T Gaming Laptop  (15.6 inch, Black Plastic, 2.30 kg)",,,"₹92,990",,,,,29.173.753,,,
85,,"Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) 15IMH05D Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)",,,"₹77,990",,,,,24.467.803,,,
86,,"HP Pavilion x360 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dw1036TU 2 in 1 Laptop  (14 inch, Natural Silver, 1.61 kg, With MS Office)",,,"₹48,990",,,,,15.369.633,,,
87,,"Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Gen - (8 GB/256 GB SSD/Windows 10 Home) E14 Laptop  (14 Inches, Black, 1.59 KG, With MS Office)",,,"₹53,990",,,,,16.938.283,,,
88,,"HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du3038TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.77 kg, With MS Office)",,,"₹45,990",,,,,14.428.443,,,
89,,"ASUS ROG Strix G15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) G512LI-HN059T Gaming Laptop  (15.6 inch, Black Plastic, 2.3 kg)",,,"₹72,990",,,,,22.899.153,,,
90,,"ASUS VivoBook 14 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK586T Thin and Light Laptop  (14 inch, Bespoke Black, 1.4 kg)",,,"₹54,990",,,,,17.252.013,,,
91,,"ASUS ZenBook Duo 14 (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX482EA-KA501TS Thin and Light Laptop  (14 inches, Celestial Blue, 1.62 kg, With MS Office)",,,"₹99,990",,,,,31.369.863,,,
92,,"DELL G3 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) G3 3500 Gaming Laptop  (15.6 inch, Black, 2.3 kg, With MS Office)",,,"₹88,990",,,,,27.918.833,,,
93,,"acer Predator Helios 300 Core i5 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060/144 Hz) PH315-53-594S Gaming Laptop  (15.6 inch, Abyssal Black, 2.5 kg)",,,"₹89,990",,,,,28.232.563,,,
94,,"DELL Inspiron Core i5 11th Gen - (8 GB/1 TB SSD/Windows 10 Home) Inspiron 5301 Thin and Light Laptop  (13.3 inch, Silver, 1.23 kg, With MS Office)",,,"₹63,390",,,,,19.887.345,,,
95,,"APPLE MacBook Pro M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MYDC2HN/A  (13.3 inch, Silver, 1.4 kg)",,,"₹133,990",,,,,42.036.683,,,
96,,"ASUS VivoBook 15 (2020) Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) X515JA-EJ532TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",,,"₹47,990",,,,,15.055.903,,,
97,,"MICROSOFT Surface Pro 7 Core i5 10th Gen - (8 GB/128 GB SSD/Windows 10 Home) 1866 2 in 1 Laptop  (12.3 inch, Platinum, 775 g)",,,"₹78,990",,,,,24.781.533,,,
98,,"ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB321TS Thin and Light Laptop  (14 inch, Cobalt Blue, 1.40 kg, With MS Office)",,,"₹46,990",,,,,14.742.173,,,
99,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
100,,"MSI Prestige 14 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) Prestige 14 A10RAS-097IN Thin and Light Laptop  (14 inch, Grey, 1.29 kg)",,,"₹89,990",,,,,28.232.563,,,
101,,"ASUS ROG Strix G15 (2020) Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) G512LI-HN057T Gaming Laptop  (15.6 inch, Black Plastic, 2.30 kg)",,,"₹84,990",,,,,26.663.913,,,
102,,"Lenovo ThinkPad E14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) E14 Thin and Light Laptop  (14 inch, Black, 1.69 kg, With MS Office)",,,"₹59,490",,,,,18.663.798,,,
103,,"Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 2 in 1 Laptop  (14 inch, Graphite Grey, 1.5 kg, With MS Office)",,,"₹57,990",,,,,18.193.203,,,
104,,"ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK581T Thin and Light Laptop  (14 inch, Cobalt Blue, 1.4 kg)",,,"₹49,990",,,,,15.683.363,,,
105,,"Lenovo ThinkPad E14 Core i3 10th Gen - (4 GB/256 GB SSD/DOS) E14 Thin and Light Laptop  (14 inch, Black, 1.69 kg)",,,"₹37,490",,,,,11.761.738,,,
106,,"Nokia PureBook X14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) NKi510UL85S Thin and Light Laptop  (14 inch, Black, 1.1 kg)",,,"₹54,890",,,,,17.220.640,,,
