,date,PM25,PM10,O3,NO2,SO2,CO
0,01/12/2020,46,40,15,27,6,7
1,02/12/2020,70,46,12,27,4,8
2,03/12/2020,84,37,13,20,3,7
3,04/12/2020,70,23,15,18,3,6
4,05/12/2020,42,27,16,19,3,6
5,06/12/2020,50,43,19,26,4,7
6,07/12/2020,82,50,26,25,4,7
7,08/12/2020,100,40,17,26,4,8
8,09/12/2020,78,50,14,34,4,11
9,10/12/2020,103,55,24,38,6,11
10,11/12/2020,113,49,16,32,4,12
11,12/12/2020,103,37,13,28,4,9
12,13/12/2020,73,32,8,21,2,8
13,14/12/2020,63,26,5,16,2,8
14,15/12/2020,49,13,5,11,1,7
15,16/12/2020,25,13,6,9,2,6
16,17/12/2020,26,17,7,8,1,5
17,18/12/2020,34,20,8,8,1,5
18,19/12/2020,38,24,15,11,2,5
19,20/12/2020,47,26,20,12,3,4
20,21/12/2020,50,34,25,18,4,7
21,22/12/2020,66,48,25,28,4,9
22,23/12/2020,96,48,12,30,8,11
23,24/12/2020,98,37,16,23,4,9
24,25/12/2020,74,51,13,32,8,13
25,26/12/2020,107,48,5,28,6,13
26,27/12/2020,95,50,3,17,3,12
27,28/12/2020,102,27,6,16,2,12
28,29/12/2020,54,17,6,17,2,10
29,30/12/2020,33,24,14,16,3,9
30,31/12/2020,43,31,17,24,6,9
31,01/11/2020,35,47,,22,8,11
32,02/11/2020,74,37,,18,8,10
33,03/11/2020,62,19,,14,9,6
34,04/11/2020,26,36,14,22,6,11
35,05/11/2020,56,54,15,34,3,14
36,06/11/2020,91,59,13,31,2,14
37,07/11/2020,112,31,18,17,2,9
38,08/11/2020,53,26,25,18,3,7
39,09/11/2020,47,32,29,24,5,8
40,10/11/2020,54,38,30,25,7,8
41,11/11/2020,65,40,26,30,7,11
42,12/11/2020,60,45,39,31,5,11
43,13/11/2020,73,41,34,30,5,10
44,14/11/2020,66,39,31,24,5,8
45,15/11/2020,67,26,21,14,1,6
46,16/11/2020,49,23,3,12,1,10
47,17/11/2020,45,23,6,15,1,13
48,18/11/2020,37,22,5,13,1,10
49,19/11/2020,30,26,4,13,1,12
50,20/11/2020,36,25,4,13,1,11
51,21/11/2020,35,19,5,12,1,6
52,22/11/2020,26,23,6,14,1,6
53,23/11/2020,34,31,5,19,1,10
54,24/11/2020,38,32,4,24,2,9
55,25/11/2020,47,37,8,28,2,8
56,26/11/2020,60,34,5,29,1,8
57,27/11/2020,50,35,18,24,2,7
58,28/11/2020,59,25,12,14,2,5
59,29/11/2020,44,20,18,14,2,4
60,30/11/2020,34,27,21,20,3,5
61,01/10/2020,28,16,,13,5,14
62,02/10/2020,22,26,,17,6,13
63,03/10/2020,37,28,,13,6,15
64,04/10/2020,40,21,,9,6,10
65,05/10/2020,33,20,,8,6,15
66,06/10/2020,28,22,,1,6,5
67,07/10/2020,33,15,,,6,5
68,08/10/2020,20,19,,8,6,4
69,09/10/2020,27,16,,8,6,5
70,10/10/2020,21,22,,9,7,4
71,11/10/2020,32,24,,10,7,4
72,12/10/2020,39,39,,17,8,8
73,13/10/2020,60,38,,17,8,6
74,14/10/2020,56,14,,8,6,4
75,15/10/2020,26,9,,8,6,5
76,16/10/2020,16,12,,8,6,5
77,17/10/2020,18,13,,10,7,4
78,18/10/2020,15,16,,10,7,5
79,19/10/2020,26,20,,12,7,6
80,20/10/2020,28,20,,14,9,5
81,21/10/2020,25,21,,15,8,6
82,22/10/2020,25,36,,20,10,7
83,23/10/2020,46,51,,27,10,12
84,24/10/2020,75,53,,29,11,11
85,25/10/2020,80,48,,19,9,7
86,26/10/2020,76,33,,17,7,6
87,27/10/2020,55,37,,23,7,12
88,28/10/2020,57,38,,15,7,8
89,29/10/2020,60,25,,12,7,5
90,30/10/2020,44,13,,13,7,7
91,31/10/2020,24,23,,15,7,10
92,01/09/2020,40,32,,18,5,9
93,02/09/2020,40,51,,15,4,7
94,03/09/2020,76,48,,21,4,11
95,04/09/2020,71,38,,18,4,12
96,05/09/2020,55,28,,12,4,7
97,06/09/2020,35,23,,13,4,7
98,07/09/2020,28,12,,12,4,7
99,08/09/2020,17,36,,19,5,12
100,09/09/2020,47,23,,14,6,11
101,10/09/2020,30,24,,10,5,11
102,11/09/2020,31,23,,15,5,12
103,12/09/2020,28,22,,11,4,11
104,13/09/2020,28,17,,9,4,9
105,14/09/2020,25,18,,10,5,13
106,15/09/2020,23,18,,9,5,10
107,16/09/2020,22,21,,10,5,11
108,17/09/2020,25,28,,14,5,12
109,18/09/2020,33,12,,6,5,3
110,19/09/2020,15,12,,7,5,5
111,20/09/2020,18,24,,9,5,10
112,21/09/2020,36,28,,10,6,12
113,22/09/2020,40,14,,8,5,11
114,23/09/2020,19,20,,9,6,12
115,24/09/2020,27,14,,10,5,7
116,25/09/2020,19,27,,13,6,10
117,26/09/2020,37,16,,10,5,9
118,27/09/2020,22,13,,6,5,6
119,28/09/2020,20,22,,15,5,10
120,29/09/2020,32,31,,16,5,11
121,30/09/2020,44,22,,13,5,12
122,01/08/2020,43,24,14,9,3,4
123,02/08/2020,31,10,13,6,3,4
124,03/08/2020,15,20,13,10,4,12
125,04/08/2020,32,19,12,9,4,13
126,05/08/2020,27,20,13,10,3,15
127,06/08/2020,29,13,12,8,3,13
128,07/08/2020,20,15,12,6,3,14
129,08/08/2020,21,20,13,6,3,21
130,09/08/2020,24,19,13,8,3,21
131,10/08/2020,23,24,17,14,3,21
132,11/08/2020,26,19,8,19,4,11
133,12/08/2020,14,21,12,12,4,10
134,13/08/2020,23,13,12,11,3,9
135,14/08/2020,17,13,11,7,4,10
136,15/08/2020,19,16,6,8,4,10
137,16/08/2020,22,32,6,9,4,9
138,17/08/2020,43,13,6,9,4,10
139,18/08/2020,19,8,,8,4,11
140,19/08/2020,13,21,,12,4,14
141,20/08/2020,28,30,,12,4,8
142,21/08/2020,41,19,,17,4,14
143,22/08/2020,23,19,,11,4,7
144,23/08/2020,26,24,,10,4,8
145,24/08/2020,32,22,,12,4,9
146,25/08/2020,26,19,,9,4,7
147,26/08/2020,21,26,,13,4,7
148,27/08/2020,30,39,,16,4,7
149,28/08/2020,50,30,,15,4,11
150,29/08/2020,38,26,,15,4,9
151,30/08/2020,32,30,,17,5,8
152,31/08/2020,37,32,,14,5,9
153,01/07/2020,30,32,17,17,2,11
154,02/07/2020,33,30,17,17,2,11
155,03/07/2020,32,24,18,14,2,10
156,04/07/2020,24,19,17,15,2,10
157,05/07/2020,24,21,16,11,2,8
158,06/07/2020,23,20,19,9,2,6
159,07/07/2020,20,26,23,10,2,6
160,08/07/2020,27,27,18,11,2,7
161,09/07/2020,24,32,18,10,2,7
162,10/07/2020,23,35,18,11,2,8
163,11/07/2020,22,43,18,13,4,10
164,12/07/2020,29,37,20,13,2,10
165,13/07/2020,34,34,24,14,2,8
166,14/07/2020,32,29,31,17,2,8
167,15/07/2020,31,27,24,11,2,6
168,16/07/2020,27,25,22,7,2,6
169,17/07/2020,24,26,22,8,2,6
170,18/07/2020,22,27,23,8,2,5
171,19/07/2020,24,28,22,8,2,5
172,20/07/2020,26,24,20,9,2,10
173,21/07/2020,29,24,14,6,4,7
174,22/07/2020,27,21,14,5,3,6
175,23/07/2020,20,21,14,,3,6
176,24/07/2020,19,24,14,,3,8
177,25/07/2020,25,25,16,,3,6
178,26/07/2020,21,21,15,,3,6
179,27/07/2020,23,42,15,,4,10
180,28/07/2020,51,53,28,,4,12
181,29/07/2020,76,44,16,,3,13
182,30/07/2020,54,37,15,12,3,11
183,31/07/2020,44,33,16,16,3,9
184,01/06/2020,28,29,16,11,7,11
185,02/06/2020,24,39,15,11,7,11
186,03/06/2020,41,32,31,7,6,9
187,04/06/2020,35,32,24,7,6,8
188,05/06/2020,36,36,24,11,6,10
189,06/06/2020,47,40,17,13,7,10
190,07/06/2020,51,42,18,13,8,8
191,08/06/2020,42,39,15,11,9,7
192,09/06/2020,36,50,26,16,10,9
193,10/06/2020,37,36,20,14,7,8
194,11/06/2020,33,31,17,13,7,9
195,12/06/2020,34,30,19,13,7,7
196,13/06/2020,29,28,17,12,7,7
197,14/06/2020,28,28,12,12,7,9
198,15/06/2020,35,25,12,16,6,11
199,16/06/2020,35,26,16,11,1,6
200,17/06/2020,21,30,13,11,2,6
201,18/06/2020,22,25,11,11,1,7
202,19/06/2020,18,24,12,13,1,8
203,20/06/2020,20,23,20,10,1,5
204,21/06/2020,21,27,23,10,1,4
205,22/06/2020,24,28,18,13,1,7
206,23/06/2020,21,33,22,17,2,7
207,24/06/2020,22,36,16,18,1,8
208,25/06/2020,23,43,20,19,2,10
209,26/06/2020,50,30,18,11,1,6
210,27/06/2020,23,27,27,12,1,4
211,28/06/2020,20,27,23,11,1,4
212,29/06/2020,23,31,18,15,3,9
213,30/06/2020,28,31,26,17,1,8
214,01/05/2020,61,35,12,6,5,8
215,02/05/2020,49,40,23,3,5,6
216,03/05/2020,47,33,16,4,5,8
217,04/05/2020,41,36,21,7,5,8
218,05/05/2020,40,39,17,6,5,10
219,06/05/2020,47,37,13,4,5,10
220,07/05/2020,42,41,13,5,5,10
221,08/05/2020,51,40,17,5,5,9
222,09/05/2020,46,40,18,5,5,10
223,10/05/2020,52,39,25,4,5,7
224,11/05/2020,44,32,14,5,5,10
225,12/05/2020,37,25,14,5,5,9
226,13/05/2020,30,28,15,4,6,9
227,14/05/2020,32,23,19,4,6,8
228,15/05/2020,22,27,15,3,5,6
229,16/05/2020,32,29,18,2,6,7
230,17/05/2020,35,24,15,,6,7
231,18/05/2020,26,28,30,,6,9
232,19/05/2020,32,39,18,,6,10
233,20/05/2020,49,32,17,,6,10
234,21/05/2020,33,45,24,12,6,11
235,22/05/2020,44,41,15,10,6,9
236,23/05/2020,38,28,19,7,6,8
237,24/05/2020,37,37,17,8,6,9
238,25/05/2020,48,30,26,7,6,9
239,26/05/2020,34,21,20,4,7,5
240,27/05/2020,27,27,21,7,7,7
241,28/05/2020,35,47,24,9,8,10
242,29/05/2020,56,35,18,9,6,9
243,30/05/2020,41,31,19,9,6,9
244,31/05/2020,34,32,17,6,6,7
245,01/04/2020,,36,7,6,5,5
246,02/04/2020,65,28,5,3,5,6
247,03/04/2020,54,25,7,6,5,8
248,04/04/2020,48,15,6,2,5,4
249,05/04/2020,28,8,13,1,5,4
250,06/04/2020,14,18,11,6,5,6
251,07/04/2020,34,36,21,7,5,6
252,08/04/2020,69,46,17,12,5,9
253,09/04/2020,89,41,25,11,6,8
254,10/04/2020,76,33,23,11,6,8
255,11/04/2020,60,22,18,6,5,6
256,12/04/2020,42,17,22,5,5,4
257,13/04/2020,31,22,20,5,5,4
258,14/04/2020,42,26,38,6,6,5
259,15/04/2020,48,31,32,8,7,6
260,16/04/2020,57,26,17,6,4,8
261,17/04/2020,49,15,14,2,4,5
262,18/04/2020,28,14,17,3,4,5
263,19/04/2020,27,17,13,1,4,6
264,20/04/2020,33,13,14,3,34,5
265,21/04/2020,25,15,14,4,24,7
266,22/04/2020,24,10,13,5,15,8
267,23/04/2020,12,6,17,2,6,5
268,24/04/2020,7,6,16,2,10,4
269,25/04/2020,11,11,22,3,6,5
270,26/04/2020,15,10,18,3,6,5
271,27/04/2020,14,11,27,8,7,8
272,28/04/2020,17,44,37,11,16,8
273,29/04/2020,55,67,42,10,11,10
274,30/04/2020,99,48,24,5,6,8
275,01/03/2020,47,32,12,15,3,8
276,02/03/2020,51,28,11,14,3,9
277,03/03/2020,43,22,11,15,3,6
278,04/03/2020,34,23,28,17,4,6
279,05/03/2020,38,31,8,13,4,9
280,06/03/2020,51,61,10,22,6,12
281,07/03/2020,112,45,9,21,4,12
282,08/03/2020,72,45,17,18,3,9
283,09/03/2020,76,54,33,18,3,9
284,10/03/2020,100,45,17,17,4,7
285,11/03/2020,70,52,15,28,6,12
286,12/03/2020,83,40,13,21,4,13
287,13/03/2020,71,40,14,14,4,11
288,14/03/2020,74,37,13,16,5,8
289,15/03/2020,60,51,10,18,6,9
290,16/03/2020,95,59,5,22,7,17
291,17/03/2020,121,31,11,21,4,16
292,18/03/2020,59,16,7,9,4,8
293,19/03/2020,32,17,7,8,4,6
294,20/03/2020,31,47,8,22,5,12
295,21/03/2020,80,31,16,13,4,9
296,22/03/2020,57,22,15,8,4,7
297,23/03/2020,40,27,14,11,4,10
298,24/03/2020,48,19,14,7,4,6
299,25/03/2020,31,17,14,7,,5
300,26/03/2020,27,13,14,4,,4
301,27/03/2020,23,19,17,5,,7
302,28/03/2020,32,21,14,4,,6
303,29/03/2020,34,14,46,2,4,4
304,30/03/2020,25,,,,,
305,31/03/2020,,,,,,
306,01/02/2020,109,70,10,20,4,9
307,02/02/2020,142,83,12,15,4,10
308,03/02/2020,171,60,14,10,3,13
309,04/02/2020,124,15,18,1,3,5
310,05/02/2020,29,24,19,1,4,9
311,06/02/2020,46,58,6,6,4,15
312,07/02/2020,107,57,2,6,3,15
313,08/02/2020,108,33,2,,4,8
314,09/02/2020,58,15,5,,3,5
315,10/02/2020,27,43,3,,7,11
316,11/02/2020,77,52,8,,5,11
317,12/02/2020,99,57,4,26,4,14
318,13/02/2020,108,42,8,21,3,15
319,14/02/2020,81,30,14,16,3,12
320,15/02/2020,51,40,15,18,3,12
321,16/02/2020,62,27,15,12,4,4
322,17/02/2020,36,40,13,17,6,6
323,18/02/2020,64,52,14,28,15,8
324,19/02/2020,84,63,7,33,18,10
325,20/02/2020,116,86,6,25,8,11
326,21/02/2020,160,98,6,26,5,12
327,22/02/2020,189,82,16,30,5,16
328,23/02/2020,168,71,13,32,5,14
329,24/02/2020,137,51,12,25,4,9
330,25/02/2020,90,47,7,20,4,9
331,26/02/2020,81,42,5,29,4,13
332,27/02/2020,65,41,7,24,4,10
333,28/02/2020,66,33,7,18,3,9
334,01/12/2019,48,34,11,16,3,7
335,02/12/2019,,80,4,28,4,15
336,03/12/2019,153,65,5,25,4,15
337,04/12/2019,118,44,6,21,3,10
338,05/12/2019,59,44,6,21,3,12
339,06/12/2019,70,46,6,18,2,9
340,07/12/2019,66,47,7,17,2,9
341,08/12/2019,63,51,6,22,2,13
342,09/12/2019,84,48,6,18,3,12
343,10/12/2019,62,49,6,22,4,11
344,11/12/2019,70,41,6,15,3,8
345,12/12/2019,52,42,6,12,3,9
346,13/12/2019,57,38,7,13,4,8
347,14/12/2019,61,77,4,19,8,14
348,15/12/2019,149,90,5,28,8,18
349,16/12/2019,171,37,6,13,3,7
350,17/12/2019,54,41,6,15,6,12
351,18/12/2019,60,36,8,13,5,8
352,19/12/2019,62,49,8,12,3,10
353,20/12/2019,97,36,10,10,3,7
354,21/12/2019,66,46,12,13,3,11
355,22/12/2019,92,67,7,20,4,15
356,23/12/2019,140,56,9,15,3,14
357,24/12/2019,111,31,12,9,2,7
358,25/12/2019,53,23,11,6,2,5
359,26/12/2019,43,19,17,5,2,4
360,27/12/2019,35,15,18,9,2,5
361,28/12/2019,23,24,15,9,3,5
362,29/12/2019,36,36,14,9,3,5
363,30/12/2019,62,46,14,7,3,5
364,31/12/2019,86,56,13,16,3,8
365,01/11/2019,115,57,9,26,5,10
366,02/11/2019,126,54,11,,,7
367,03/11/2019,96,30,16,,,6
368,04/11/2019,44,48,16,37,6,9
369,05/11/2019,82,59,19,20,7,8
370,06/11/2019,107,51,20,15,6,5
371,07/11/2019,84,42,20,15,4,6
372,08/11/2019,65,64,21,22,6,9
373,09/11/2019,116,74,23,27,9,11
374,10/11/2019,139,85,26,31,11,15
375,11/11/2019,153,91,26,33,9,15
376,12/11/2019,167,95,28,35,10,18
377,13/11/2019,177,119,3,29,8,15
378,14/11/2019,213,78,22,33,8,14
379,15/11/2019,156,83,9,25,6,12
380,16/11/2019,166,50,6,20,5,10
381,17/11/2019,95,34,4,12,3,10
382,18/11/2019,64,28,8,18,4,13
383,19/11/2019,50,26,6,11,3,11
384,20/11/2019,46,35,6,13,4,11
385,21/11/2019,63,43,6,13,4,8
386,22/11/2019,84,52,6,11,3,9
387,23/11/2019,102,49,5,11,3,9
388,24/11/2019,90,76,5,12,4,15
389,25/11/2019,154,94,4,20,4,20
390,26/11/2019,168,41,6,15,2,9
391,27/11/2019,49,51,6,17,5,10
392,28/11/2019,75,44,6,11,3,7
393,29/11/2019,68,65,6,19,7,8
394,30/11/2019,117,74,8,22,5,11
395,01/10/2019,144,,,,,
396,02/10/2019,,,,,,
397,03/10/2019,103,23,19,,,
398,04/10/2019,61,26,13,,,
399,05/10/2019,62,32,20,,,
400,06/10/2019,71,38,33,,,1
401,07/10/2019,70,62,46,,,2
402,08/10/2019,120,78,35,,,1
403,09/10/2019,157,69,39,,,10
404,10/10/2019,149,56,41,,,7
405,11/10/2019,118,64,49,,,8
406,12/10/2019,131,74,54,,,6
407,13/10/2019,164,76,45,,,8
408,14/10/2019,165,96,44,,,9
409,15/10/2019,217,53,15,,,7
410,16/10/2019,117,29,14,,,8
411,17/10/2019,56,53,21,,,9
412,18/10/2019,101,48,27,,,6
413,19/10/2019,91,31,17,,,4
414,20/10/2019,61,27,16,,,7
415,21/10/2019,53,32,18,,,5
416,22/10/2019,59,61,19,,,9
417,23/10/2019,105,71,15,,,9
418,24/10/2019,131,73,14,,,12
419,25/10/2019,128,70,14,,,12
420,26/10/2019,120,57,8,,,11
421,27/10/2019,89,64,13,,,13
422,28/10/2019,101,65,12,,,11
423,29/10/2019,113,71,14,,,10
424,30/10/2019,124,47,10,,,6
425,31/10/2019,69,54,10,,,9
426,01/09/2019,84,68,7,,,12
427,02/09/2019,175,84,50,17,,9
428,03/09/2019,150,64,20,14,,9
429,04/09/2019,116,41,18,11,,8
430,05/09/2019,86,57,14,13,,11
431,06/09/2019,120,51,22,10,,8
432,07/09/2019,94,52,26,8,,5
433,08/09/2019,94,61,29,10,,5
434,09/09/2019,105,26,16,5,,4
435,10/09/2019,58,20,14,6,,5
436,11/09/2019,42,54,15,9,,6
437,12/09/2019,109,35,15,10,,6
438,13/09/2019,56,36,15,10,,5
439,14/09/2019,61,36,15,8,,4
440,15/09/2019,67,29,18,5,,2
441,16/09/2019,58,30,20,6,,2
442,17/09/2019,60,39,40,6,,5
443,18/09/2019,76,45,35,,,7
444,19/09/2019,97,24,21,23,,4
445,20/09/2019,48,29,34,,,5
446,21/09/2019,49,46,41,,,5
447,22/09/2019,94,56,27,,,7
448,23/09/2019,118,36,22,,,3
449,24/09/2019,68,28,22,,,4
450,25/09/2019,55,16,17,,,2
451,26/09/2019,35,32,16,,,2
452,27/09/2019,67,52,23,,,1
453,28/09/2019,112,44,15,,,1
454,29/09/2019,95,29,13,,,1
455,30/09/2019,64,23,27,,,1
456,01/08/2019,40,47,34,,,2
457,02/08/2019,90,53,20,,,1
458,03/08/2019,,,,,,
459,04/08/2019,,,,,,
460,05/08/2019,,,,,,
461,06/08/2019,,,,,,
462,07/08/2019,,,,,,
463,08/08/2019,,,,,,
464,09/08/2019,,,,,,
465,10/08/2019,,,,,,
466,11/08/2019,,,,,,
467,12/08/2019,,,,,,
468,13/08/2019,,,,,,
469,14/08/2019,,,,,,
470,15/08/2019,,,,,,
471,16/08/2019,,8,34,11,,7
472,17/08/2019,18,13,43,9,,7
473,18/08/2019,31,12,36,11,,9
474,19/08/2019,30,29,36,9,,6
475,20/08/2019,54,37,32,6,,5
476,21/08/2019,74,28,22,7,,7
477,22/08/2019,60,38,39,7,,8
478,23/08/2019,75,36,30,6,,4
479,24/08/2019,61,38,45,10,,5
480,25/08/2019,53,63,57,15,,6
481,26/08/2019,102,72,46,18,,8
482,27/08/2019,113,76,63,17,,7
483,28/08/2019,122,75,51,15,,6
484,29/08/2019,132,71,59,18,,8
485,30/08/2019,122,84,58,21,,10
486,31/08/2019,146,88,54,19,,7
487,01/07/2019,154,99,63,16,,8
488,02/07/2019,21,6,14,19,,6
489,03/07/2019,17,4,17,14,,6
490,04/07/2019,13,4,17,8,,2
491,05/07/2019,13,6,18,16,,8
492,06/07/2019,18,,,21,,9
493,07/07/2019,,,,20,,7
494,08/07/2019,,,,27,,7
495,09/07/2019,,,,21,,7
496,10/07/2019,,,,18,,6
497,11/07/2019,,,13,17,,7
498,12/07/2019,,,,16,,6
499,13/07/2019,,,,8,,7
500,14/07/2019,,,,9,,7
501,15/07/2019,,,,10,,5
502,16/07/2019,,,,9,,5
503,17/07/2019,,,,10,,7
504,18/07/2019,,,,8,,7
505,19/07/2019,,,,7,,5
506,20/07/2019,,,,10,,7
507,21/07/2019,,4,22,11,,7
508,22/07/2019,8,,,9,,10
509,23/07/2019,,,,10,,10
510,24/07/2019,,,,6,,5
511,25/07/2019,,,,6,,5
512,26/07/2019,,,,8,,6
513,27/07/2019,,,,8,,10
514,28/07/2019,,,,,,
515,29/07/2019,,,,,,
516,30/07/2019,,,,,,
517,31/07/2019,,,,,,
518,01/06/2019,,,,,,
519,02/06/2019,11,6,22,21,,15
520,03/06/2019,14,6,28,18,,14
521,04/06/2019,17,6,26,14,,
522,05/06/2019,16,3,16,15,,
523,06/06/2019,10,5,14,23,,7
524,07/06/2019,10,5,18,21,,6
525,08/06/2019,9,6,26,23,,6
526,09/06/2019,12,7,20,25,,7
527,10/06/2019,12,7,42,21,,6
528,11/06/2019,13,5,21,21,,6
529,12/06/2019,13,7,11,26,,9
530,13/06/2019,13,7,15,23,,7
531,14/06/2019,14,8,13,24,,7
532,15/06/2019,13,9,11,17,,7
533,16/06/2019,20,9,14,24,,11
534,17/06/2019,21,9,441,28,,10
535,18/06/2019,21,7,151,24,,8
536,19/06/2019,14,8,16,24,,8
537,20/06/2019,17,9,18,27,,8
538,21/06/2019,21,6,14,24,,4
539,22/06/2019,14,7,13,26,,7
540,23/06/2019,14,7,46,28,,9
541,24/06/2019,14,7,19,28,,10
542,25/06/2019,14,3,28,24,,6
543,26/06/2019,7,,18,21,,7
544,27/06/2019,,,,,,
545,28/06/2019,,,,,,
546,29/06/2019,,,15,22,,10
547,30/06/2019,,,17,24,,9
548,01/05/2019,,6,32,24,,8
549,02/05/2019,16,7,34,16,,4
550,03/05/2019,4,0,,,,0
551,04/05/2019,14,0,,,,0
552,05/05/2019,,3,3,3,3,3
553,06/05/2019,,7,7,7,7,7
554,07/05/2019,,5,5,5,5,5
555,08/05/2019,,,,,,
556,09/05/2019,,,,,,
557,10/05/2019,,,,,,
558,11/05/2019,,0,0,0,0,0
559,12/05/2019,,,,,,
560,13/05/2019,,,,,,
561,14/05/2019,,,,,,
562,15/05/2019,,,,,,
563,16/05/2019,,,,,,
564,17/05/2019,,,,,,
565,18/05/2019,,,,,,
566,19/05/2019,,,,,,
567,20/05/2019,,,,,,
568,21/05/2019,,,,,,
569,22/05/2019,,,,,,
570,23/05/2019,,,,,,
571,24/05/2019,,,,,,
572,25/05/2019,,,,,,
573,26/05/2019,,,,,,
574,27/05/2019,,,,,,
575,28/05/2019,,,,,,
576,29/05/2019,,,,,,
577,30/05/2019,,,,,,
578,31/05/2019,,,,,,
579,01/04/2019,,,,,,
580,02/04/2019,,,,,,
581,03/04/2019,,,,,,
582,04/04/2019,,,,,,
583,05/04/2019,,,,,,
584,06/04/2019,,,,,,
585,07/04/2019,,,,,,
586,08/04/2019,,,,,,
587,09/04/2019,,,,,,
588,10/04/2019,,,,,,
589,11/04/2019,,,,,,
590,12/04/2019,,,,,,
591,13/04/2019,,,,,,
592,14/04/2019,,,,,,
593,15/04/2019,,,,,,
594,16/04/2019,,,,,,
595,17/04/2019,,,,,,
596,18/04/2019,,,,,,
597,19/04/2019,,,,,,
598,20/04/2019,,,,,,
599,21/04/2019,,,,,,
600,22/04/2019,,,,,,
601,23/04/2019,,,,,,
602,24/04/2019,,,,,,
603,25/04/2019,,,,,,
604,26/04/2019,,,,,,
605,27/04/2019,,,,,,
606,28/04/2019,,,,,,
607,29/04/2019,,,,,,
608,30/04/2019,,,,,,
609,01/03/2019,,,,,,
610,02/03/2019,,,,,,
611,03/03/2019,,,,,,
612,04/03/2019,,,,,,
613,05/03/2019,,,,,,
614,06/03/2019,,,,,,
615,07/03/2019,,,,,,
616,08/03/2019,,,,,,
617,09/03/2019,,,,,,
618,10/03/2019,,,,,,
619,11/03/2019,,,,,,
620,12/03/2019,,,,,,
621,13/03/2019,,,,,,
622,14/03/2019,,,,,,
623,15/03/2019,,,,,,
624,16/03/2019,,,,,,
625,17/03/2019,,,,,,
626,18/03/2019,,,,,,
627,19/03/2019,,,,,,
628,20/03/2019,,,,,,
629,21/03/2019,,,,,,
630,22/03/2019,,,,,,
631,23/03/2019,,,,,,
632,24/03/2019,,,,,,
633,25/03/2019,,,,,,
634,26/03/2019,,,,,,
635,27/03/2019,,,,,,
636,28/03/2019,,,,,,
637,29/03/2019,,,,,,
638,30/03/2019,,,,,,
639,31/03/2019,,,,,,
640,01/02/2019,,,,,,
641,02/02/2019,,,,,,
642,03/02/2019,,,,,,
643,04/02/2019,,,,,,
644,05/02/2019,,,,,,
645,06/02/2019,,,,,,
646,07/02/2019,,,,,,
647,08/02/2019,,,,,,
648,09/02/2019,,,,,,
649,10/02/2019,,,,,,
650,11/02/2019,,,,,,
651,12/02/2019,,,,,,
652,13/02/2019,,,,,,
653,14/02/2019,,,,,,
654,15/02/2019,,,,,,
655,16/02/2019,,,,,,
656,17/02/2019,,,,,,
657,18/02/2019,,,,,,
658,19/02/2019,,,,,,
659,20/02/2019,,,,,,
660,21/02/2019,,,,,,
661,22/02/2019,,,,,,
662,23/02/2019,,,,,,
663,24/02/2019,,,,,,
664,25/02/2019,,,,,,
665,26/02/2019,,,,,,
666,27/02/2019,,,,,,
667,28/02/2019,,,,,,
668,01/12/2018,,,,,,
669,02/12/2018,,,,,,
670,03/12/2018,,,,,,
671,04/12/2018,,,,,,
672,05/12/2018,,,,,,
673,06/12/2018,,,,,,
674,07/12/2018,,,,,,
675,08/12/2018,,,,,,
676,09/12/2018,,,,,,
677,10/12/2018,,,,,,
678,11/12/2018,,,,,,
679,12/12/2018,,,,,,
680,13/12/2018,,,,,,
681,14/12/2018,,,,,,
682,15/12/2018,,,,,,
683,16/12/2018,,,,,,
684,17/12/2018,,,,,,
685,18/12/2018,,,,,,
686,19/12/2018,,,,,,
687,20/12/2018,,,,,,
688,21/12/2018,,,,,,
689,22/12/2018,,,,,,
690,23/12/2018,,,,,,
691,24/12/2018,,,,,,
692,25/12/2018,,,,,,
693,26/12/2018,,,,,,
694,27/12/2018,,,,,,
695,28/12/2018,,,,,,
696,29/12/2018,,,,,,
697,30/12/2018,,,,,,
698,31/12/2018,,,,,,
699,01/11/2018,,,,,,
700,02/11/2018,,,,,,
701,03/11/2018,,,,,,
702,04/11/2018,,,,,,
703,05/11/2018,,,,,,
704,06/11/2018,,,,,,
705,07/11/2018,,,,,,
706,08/11/2018,,,,,,
707,09/11/2018,,,,,,
708,10/11/2018,,,,,,
709,11/11/2018,,,,,,
710,12/11/2018,,,,,,
711,13/11/2018,,,,,,
712,14/11/2018,,,,,,
713,15/11/2018,,,,,,
714,16/11/2018,,,,,,
715,17/11/2018,,,,,,
716,18/11/2018,,,,,,
717,19/11/2018,,,,,,
718,20/11/2018,,,,,,
719,21/11/2018,,,,,,
720,22/11/2018,,,,,,
721,23/11/2018,,,,,,
722,24/11/2018,,,,,,
723,25/11/2018,,,,,,
724,26/11/2018,,,,,,
725,27/11/2018,,,,,,
726,28/11/2018,,,,,,
727,29/11/2018,,,,,,
728,30/11/2018,,,,,,
729,01/10/2018,,,,,,
730,02/10/2018,,,,,,
731,03/10/2018,,,,,,
732,04/10/2018,,,,,,
733,05/10/2018,,,,,,
734,06/10/2018,,,,,,
735,07/10/2018,,,,,,
736,08/10/2018,,,,,,
737,09/10/2018,,,,,,
738,10/10/2018,,,,,,
739,11/10/2018,,,,,,
740,12/10/2018,,,,,,
741,13/10/2018,,,,,,
742,14/10/2018,,,,,,
